num,name,score,lng,lat
102,绵阳万众汽配有限责任公司,87,104.7819129,31.51586959
103,绵阳市康特斯电子有限公司,86,104.705519,31.50470126
104,绵阳恒持金属设备有限公司,86,104.705519,31.50470126
105,绵阳市维博电子有限责任公司,93,104.7884669,31.51313826
106,绵阳知觉科技股份有限公司,91,104.705519,31.50470126
107,四川瑞立安光学精密机械有限公司,83,104.726322,31.543253
108,绵阳思创磁业有限公司,84,104.705519,31.50470126
109,绵阳天羽航科技有限公司,85,104.705519,31.50470126
110,绵阳天眼激光科技有限公司,90,104.705519,31.50470126
111,绵阳德华磁材有限公司,86,104.705519,31.50470126
112,四川中物裕邦科技有限公司,87,102.8991597,30.36748094
113,绵阳柏瑞电子有限公司,83,104.705519,31.50470126
114,绵阳昱丰电子科技有限公司,84,104.705519,31.50470126
115,四川西达科技有限公司,84,104.711838,31.537845
116,四川德拉普环保科技有限公司,83,102.8991597,30.36748094
117,绵阳科创园区精机电子有限公司,84,104.7292455,31.49503583
118,四川永贵科技有限公司,87,104.6808041,31.5048037
119,江油市九0三建筑设计有限责任公司,87,104.9331493,31.95242667
120,绵阳高新区天意电子科技有限公司,87,104.6772895,31.47034753
121,绵阳市万欣测控技术有限公司,88,104.7769179,31.50774746
122,绵阳天和机械制造有限公司,87,104.705519,31.50470126
123,安县中联水泥有限公司,86,104.3762252,31.61066935
124,绵阳高新区恒奥电子科技有限公司,87,104.6914589,31.4649531
125,绵阳环阳科技有限公司,87,104.6543497,31.45237897
126,四川安泰消防工程有限责任公司,87,104.492664,31.514708
127,四川省三台水晶电子有限公司,88,105.0425811,31.11887249
128,四川嘉瑞丰科技有限公司,86,102.8991597,30.36748094
129,四川神龙粮油有限公司,89,102.8991597,30.36748094
130,绵阳同辉科技有限公司,88,104.705519,31.50470126
131,绵阳市新兴机械有限责任公司,88,104.7884705,31.50937553
132,四川长虹电源有限责任公司,86,104.7744704,31.45170709
133,四川中物环保科技有限公司,89,102.8991597,30.36748094
134,四川省隆源粮油食品有限公司,85,104.9196101,31.28335433
135,四川蓝色港湾科技有限公司,86,102.8991597,30.36748094
136,绵阳启明星电力设备有限公司,86,104.4321612,31.66107091
137,四川省科学城帝威电气有限公司,86,104.7481915,31.51773607
138,四川荣丰电子有限公司,85,102.8991597,30.36748094
139,四川长虹空调有限公司,88,104.677705,31.473927
140,绵阳虹瑞科技有限公司,86,104.705519,31.50470126
141,绵阳市恒义机械制造有限公司,85,104.6158503,31.45722488
142,四川绵阳瑞晨汽车零部件有限公司,85,104.705519,31.50470126
143,北川天讯新材料有限公司,86,104.2583414,31.96252731
144,四川浩康科技有限公司,85,102.8991597,30.36748094
145,四川鑫鼎新材料有限公司,95,104.762854,31.761182
146,绵阳艺精防辐射科技有限公司,87,104.705519,31.50470126
147,绵阳启明星磷化工有限公司,92,104.3459077,31.45319419
148,四川杰邦科技有限公司,86,102.8991597,30.36748094
149,绵阳市鑫祥环保科技有限责任公司,89,104.705519,31.50470126
150,绵阳流能粉体设备有限公司,88,104.697983,31.495801
151,四川九洲空管科技有限责任公司,97,104.705165,31.46891714
152,四川知觉科技有限公司,86,102.8991597,30.36748094
153,四川昊吉科技有限公司,87,102.8991597,30.36748094
154,四川梓冠光电科技有限公司,86,102.8991597,30.36748094
155,四川省科学城海天实业有限公司,92,104.7481915,31.51773607
156,四川奥斯廷科技有限公司,86,102.8991597,30.36748094
157,四川力程测控技术有限公司,88,102.8991597,30.36748094
158,四川省积水科技有限公司,88,102.8991597,30.36748094
159,四川科莱立泊停车设备有限公司,91,102.8991597,30.36748094
160,绵阳开元磁性材料有限公司,92,104.7716183,31.49405287
